Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Soil_pH,Rainfall,Crop,State,District,Latitude,Longitude,Altitude,Soil_Type,Organic_Carbon,Electrical_Conductivity,Groundwater_Level,Soil_Moisture,Agro_Climatic_Zone,Water_Availability,Irrigation_Type,Season,Month,Wind_Speed,Solar_Radiation,Sunshine_Hours,NPK_Total,NPK_Ratio_N,NPK_Ratio_P,NPK_Ratio_K,Fertility_Index,Crop_Suitability_Score,Rainfall_Category,Temperature_Category,Soil_Fertility_Index,Rainfall_Category_Code,Temperature_Category_Code,Season_Code
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,Punjab,Amritsar,30.735226,74.894527,279.3,Alluvial,0.485,0.562,29.77,29.86,Trans-Gangetic Plains Region,High,Flood,Kharif,June,10.37,18.19,7.43,175,0.5142856848979609,0.23999998628571506,0.24571427167347018,46.72,0.6647101758159353,High,Moderate,37.247273417862495,2,1,1
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Odisha,Cuttack,20.476042,84.229998,87.7,Alluvial,0.542,0.207,6.52,30.3,East Coast Plains and Hills Region,High,Canal,Kharif,June,9.56,16.12,5.43,184,0.4619564966327991,0.3152173741729688,0.22282607484640898,46.93,0.5337417413473989,High,Moderate,35.41591995747108,2,1,1
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,West Bengal,Bardhaman,23.433492,87.480913,79.0,Clayey,0.528,0.405,4.64,37.33,Lower Gangetic Plains Region,Low,Canal,Kharif,July,8.58,16.59,5.39,159,0.37735846683280083,0.3459119279300674,0.27672954234405395,38.53,0.35551730188117836,High,Moderate,19.608792800784002,2,1,1
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Uttar Pradesh,Meerut,25.619481,80.409707,102.9,Clayey,0.784,0.571,5.91,40.98,Upper Gangetic Plains Region,High,Canal,Kharif,July,9.32,16.77,5.74,149,0.49664426197018374,0.23489931309400583,0.26845635782172095,44.31,0.552769259877561,High,Moderate,42.88189686417,2,2,1
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Andhra Pradesh,Guntur,15.476628,79.476965,196.8,Clayey,0.619,0.335,11.97,38.75,East Coast Plains and Hills Region,High,Canal,Kharif,June,8.46,16.3,5.95,162,0.4814814517604042,0.2592592432556023,0.2592592432556023,41.39,0.41683621397392845,High,Moderate,27.224169091068497,2,1,1
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Odisha,Cuttack,19.833904,84.401166,49.9,Clayey,0.55,0.394,6.57,33.02,East Coast Plains and Hills Region,Medium,Canal,Kharif,June,12.93,14.21,6.68,148,0.46621618471512266,0.24999998310810925,0.28378376460920507,40.37,0.47145795775730737,High,Moderate,28.52708725535626,2,1,1
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Punjab,Ludhiana,31.100754,75.47588,292.8,Clayey,0.502,0.246,25.47,30.84,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,8.14,17.03,6.42,162,0.42592589963420374,0.3395061518823363,0.2345678867550687,41.55,0.4458070026454034,High,Moderate,25.5486029377,2,1,1
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,Tamil Nadu,Salem,11.191423,78.11466,8.2,Alluvial,0.556,0.564,12.45,22.9,East Coast Plains and Hills Region,High,Canal,Kharif,June,6.41,17.35,5.85,187,0.5026737699104936,0.28342244473676764,0.21390373187680578,46.67,0.5075878985387857,High,Moderate,33.665818570168334,2,1,1
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,Punjab,Bathinda,30.779121,75.299525,259.9,Alluvial,0.898,0.116,15.67,30.63,Trans-Gangetic Plains Region,High,Flood,Kharif,July,8.25,17.48,7.54,181,0.49171268001587404,0.29834252495345165,0.20994473978205858,53.03,0.6163824188499314,High,Moderate,66.55905132953067,2,1,1
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,West Bengal,Hooghly,22.617043,86.657784,61.7,Alluvial,0.507,0.485,7.47,24.67,Lower Gangetic Plains Region,High,Flood,Kharif,July,9.23,17.02,5.43,164,0.414634121058895,0.35365851502082224,0.23170730294467665,44.75,0.570414178858635,High,Moderate,33.55287920074999,2,1,1
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Uttar Pradesh,Varanasi,27.599461,81.051464,156.9,Alluvial,0.465,0.56,9.75,34.98,Upper Gangetic Plains Region,Medium,Flood,Kharif,July,7.83,16.09,5.08,184,0.4945651905127614,0.28804346260633357,0.21739129253308193,43.44,0.5301135488309078,High,Moderate,23.498114073877503,2,2,1
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Odisha,Cuttack,21.227327,84.613556,212.4,Clayey,0.811,0.65,5.11,35.54,East Coast Plains and Hills Region,High,Flood,Kharif,July,11.52,16.27,5.56,178,0.5056179491225872,0.25842695177376673,0.23595504292387398,47.42,0.5285431458025919,High,Moderate,42.112243119439995,2,1,1
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Andhra Pradesh,Anantapur,15.362214,80.190095,189.5,Clayey,0.578,0.66,9.63,30.93,East Coast Plains and Hills Region,Medium,Canal,Kharif,July,12.09,18.8,6.2,180,0.4333333092592606,0.32222220432098864,0.2444444308641983,42.74,0.4197164487632567,High,Moderate,23.942815361930993,2,2,1
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,Uttar Pradesh,Varanasi,27.157961,80.860205,297.9,Clayey,0.765,0.787,9.66,35.93,Upper Gangetic Plains Region,Medium,Canal,Kharif,June,8.82,15.66,6.31,185,0.5027026755295851,0.3027026863403953,0.1945945840759684,50.78,0.6519607812605327,High,Moderate,51.9606751527,2,1,1
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,Punjab,Patiala,30.944317,75.144066,295.7,Clayey,0.989,0.81,10.31,42.43,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,12.07,16.59,6.61,181,0.5193369878819344,0.2762430786606034,0.2044198782088465,53.2,0.6705595021651443,High,Moderate,66.98873513495042,2,1,1
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,rice,West Bengal,Bardhaman,23.009631,87.282271,81.9,Alluvial,0.863,0.297,4.45,30.98,Lower Gangetic Plains Region,High,Canal,Kharif,July,10.07,15.61,5.05,147,0.4081632375399158,0.32653059003193263,0.26530610440094526,44.84,0.5385689402939102,High,Moderate,44.27578948458136,2,1,1
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice,Punjab,Patiala,31.25466,75.930205,292.1,Alluvial,0.481,0.137,29.36,28.86,Trans-Gangetic Plains Region,Medium,Canal,Kharif,July,12.38,16.86,6.37,164,0.5182926513236188,0.23170730294467665,0.2499999847560985,43.78,0.525128394137929,High,Moderate,31.790136329761328,2,1,1
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,West Bengal,Murshidabad,22.447368,87.400955,61.2,Clayey,0.624,0.312,4.08,42.66,Lower Gangetic Plains Region,Medium,Flood,Kharif,June,9.97,17.04,5.08,165,0.5515151180899929,0.21212119926538187,0.23636362203856837,45.1,0.6244533258161924,High,Moderate,38.53398078805599,2,1,1
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice,Punjab,Bathinda,30.790371,75.651262,203.4,Alluvial,0.84,0.502,24.32,33.01,Trans-Gangetic Plains Region,Medium,Canal,Kharif,June,12.66,18.94,7.73,151,0.5099337410639907,0.2516556124731382,0.23841058023770992,45.46,0.5892372418767128,High,Moderate,45.52046226979999,2,1,1
